"","Vol","Page","Area","Witness","Location","Url","header"
"21",1,"72","Skye, Skeabost","Allan Mathieson","Drumuie","http://napier-skye.blogspot.com/2010/08/skeabost-skye-9-may-1883-allan.html","Skeabost, Skye, 9 May 1883 - Allan Mathieson"
"22",1,"73","Skye, Skeabost","Hugh Mcnab","Kildonan, Lynedale","http://napier-skye.blogspot.com/2010/08/skeabost-skye-9-may-1883-hugh-mcnab.html","Skeabost, Skye, 9 May 1883 - Hugh Mcnab"
"23",1,"75","Skye, Skeabost","Donald Steele","Kildonan","http://napier-skye.blogspot.com/2010/08/skeabost-skye-9-may-1883-donald-steele.html","Skeabost, Skye, 9 May 1883 - Donald Steele"
"24",1,"77","Skye, Skeabost","Samuel Nicolson","Skerrinish","http://napier-skye.blogspot.com/2010/08/skeabost-skye-9-may-1883-samuel.html","Skeabost, Skye, 9 May 1883 - Samuel Nicolson"
"25",1,"79","Skye, Skeabost","Neil Shaw","Eyre","http://napier-skye.blogspot.com/2010/08/skeabost-skye-9-may-1883-neil-shaw.html","Skeabost, Skye, 9 May 1883 - Neil Shaw"
"26",1,"81","Skye, Uig","John Gillies","South Cuil","http://napier-skye.blogspot.com/2010/08/uig-10-may-1883-john-gillies.html","Uig, 10 May 1883 - John Gillies"
"27",1,"86","Skye, Uig","Peter Mcdonald","Glen Hinisdale","http://napier-skye.blogspot.com/2010/08/uig-10-may-1883-peter-mcdonald.html","Uig, 10 May 1883 - Peter Mcdonald"
"28",1,"93","Skye, Uig","Donald Beaton","Earlish","http://napier-skye.blogspot.com/2010/08/uig-10-may-1883-donald-beaton.html","Uig, 10 May 1883 - Donald Beaton"
"29",1,"96","Skye, Uig","Donald Ross","Idrigill","http://napier-skye.blogspot.com/2010/08/uig-10-may-1883-donald-ross.html","Uig, 10 May 1883 - Donald Ross"
"30",1,"98","Skye, Uig","Malcolm Nicolson","Shiader","http://napier-skye.blogspot.com/2010/08/uig-10-may-1883-malcolm-nicolson.html","Uig, 10 May 1883 - Malcolm Nicolson"
"31",1,"102","Skye, Uig","Angus Mcinnes","Beinsoraig","http://napier-skye.blogspot.com/2010/08/uig-10-may-1883-angus-mcinnes.html","Uig, 10 May 1883 - Angus Mcinnes"
"32",1,"106","Skye, Uig","Donald Mcqueen","Conista, Kilmuir","http://napier-skye.blogspot.com/2010/08/uig-10-may-1883-donald-mcqueen.html","Uig, 10 May 1883 - Donald Mcqueen"
"33",1,"109","Skye, Uig","Donald Mcdonald","Kendram","http://napier-skye.blogspot.com/2010/08/uig-10-may-1883-donald-mcdonald.html","Uig, 10 May 1883 - Donald Mcdonald"
"34",1,"111","Skye, Uig","Hector Mckenzie","Solitote","http://napier-skye.blogspot.com/2010/08/uig-10-may-1883-hector-mckenzie.html","Uig, 10 May 1883 - Hector Mckenzie"
"35",1,"115","Skye, Uig","John Macdonald","Solitote","http://napier-skye.blogspot.com/2010/08/uig-10-may-1883-john-macdonald.html","Uig, 10 May 1883 - John Macdonald"
"36",1,"117","Skye, Uig","Donald Beaton","Herbosta","http://napier-skye.blogspot.com/2010/08/uig-10-may-1883-donald-beaton-herbosta.html","Uig, 10 May 1883 - Donald Beaton (Herbosta)"
"37",1,"119","Skye, Uig","Donald Mathieson","Kilvaxter","http://napier-skye.blogspot.com/2010/08/uig-10-may-1883-donald-mathieson.html","Uig, 10 May 1883 - Donald Mathieson"
"38",1,"124","Skye, Uig","Donald Mcdonald","Hundlader","http://napier-skye.blogspot.com/2010/08/uig-10-may-1883-donald-mcdonald_20.html","Uig, 10 May 1883 - Donald Mcdonald (Hundlader)"
"39",1,"124","Skye, Uig","Donald Nicolson","Solitote","http://napier-skye.blogspot.com/2010/08/uig-10-may-1883-donald-nicolson.html","Uig, 10 May 1883 - Donald Nicolson"
"40",1,"126","Skye, Stenscholl","Norman Stewart","Valtos","http://napier-skye.blogspot.com/2010/08/stenscholl-skye-11-may-1883-norman.html","Stenscholl, Skye, 11 May 1883 - Norman Stewart"
"41",1,"131","Skye, Stenscholl","Donald Ross","Culnacnock","http://napier-skye.blogspot.com/2010/08/stenscholl-skye-11-may-1883-donald-ross.html","Stenscholl, Skye, 11 May 1883 - Donald Ross"
"42",1,"136","Skye, Stenscholl","Archibald Macdonald","Garafad","http://napier-skye.blogspot.com/2010/08/stenscholl-skye-11-may-1883-archibald.html","Stenscholl, Skye, 11 May 1883  - Archibald Macdonald"
"43",1,"138","Skye, Stenscholl","Murdo Mclean","Lealt","http://napier-skye.blogspot.com/2010/08/stenscholl-skye-11-may-1883-murdo.html","Stenscholl, Skye, 11 May 1883 - Murdo Mclean"
"44",1,"140","Skye, Stenscholl","Roderick Mcinnes","Glasbheinn","http://napier-skye.blogspot.com/2010/08/stenscholl-skye-11-may-1883-roderick.html","Stenscholl, Skye, 11 May 1883 - Roderick Mcinnes"
"45",1,"142","Skye, Stenscholl","Norman Nicolson","Brogaig","http://napier-skye.blogspot.com/2010/08/stenscholl-skye-11-may-1883-norman_21.html","Stenscholl, Skye, 11 May 1883 - Norman Nicolson"
"46",1,"144","Skye, Stenscholl","Murdo Mcleod","Deig","http://napier-skye.blogspot.com/2010/08/stenscholl-skye-11-may-1883-murdo_21.html","Stenscholl, Skye, 11 May 1883 - Murdo Mcleod"
"47",1,"146","Skye, Stenscholl","John Mackenzie","Malagir","http://napier-skye.blogspot.com/2010/08/stenscholl-skye-11-may-1883-john.html","Stenscholl, Skye, 11 May 1883 - John Mackenzie"
"48",1,"147","Skye, Stenscholl","Norman Munro","Clachan","http://napier-skye.blogspot.com/2010/08/stenscholl-skye-11-may-1883-norman_6593.html","Stenscholl, Skye, 11 May 1883 - Norman Munro"
"49",1,"150","Skye, Stenscholl","Murdo Nicolson","Loanfearn","http://napier-skye.blogspot.com/2010/08/stenscholl-skye-11-may-1883-murdo_7418.html","Stenscholl, Skye, 11 May 1883 - Murdo Nicolson"
"50",1,"155","Skye, Waternish","Donald Mckinnon","Hallistra","http://napier-skye.blogspot.com/2010/08/waternish-skye-14-may-1883-donald.html","Waternish, Skye, 14 May 1883 - Donald Mckinnon"
"51",1,"160","Skye, Waternish","Angus Mclean","Lower Hallistra","http://napier-skye.blogspot.com/2010/08/waternish-skye-14-may-1883-angus-mclean.html","Waternish, Skye, 14 May 1883 - Angus Mclean"
"52",1,"161","Skye, Waternish","John Mclean","Hallen Park","http://napier-skye.blogspot.com/2010/08/waternish-skye-14-may-1883-john-mclean.html","Waternish, Skye, 14 May 1883 - John Mclean"
"53",1,"166","Skye, Waternish","Charles Mckinnon","Lusta","http://napier-skye.blogspot.com/2010/08/waternish-skye-14-may-1883-charles.html","Waternish, Skye, 14 May 1883 - Charles Mckinnon"
"54",1,"168","Skye, Waternish","Ronald Mcfie","Lusta","http://napier-skye.blogspot.com/2010/08/waternish-skye-14-may-1883-ronald-mcfie.html","Waternish, Skye, 14 May 1883 - Ronald Mcfie"
"55",1,"168","Skye, Waternish","Duncan Stewart","Stein","http://napier-skye.blogspot.com/2010/08/waternish-skye-14-may-1883-duncan.html","Waternish, Skye, 14 May 1883 - Duncan Stewart"
"56",1,"173","Skye, Waternish","Neil Mcdiarmid","Geary","http://napier-skye.blogspot.com/2010/08/waternish-skye-14-may-1883-neil.html","Waternish, Skye, 14 May 1883 - Neil Mcdiarmid"
"57",1,"179","Skye, Waternish","Malcolm Mcleod","Gillen","http://napier-skye.blogspot.com/2010/08/waternish-skye-14-may-1883-malcolm_22.html","Waternish, Skye, 14 May 1883 - Malcolm Mcleod"
"58",1,"181","Skye, Waternish","Peter Mcnab","Gillen","http://napier-skye.blogspot.com/2010/08/waternish-skye-14-may-1883-peter-mcnab.html","Waternish, Skye, 14 May 1883 - Peter Mcnab"
"59",1,"182","Skye, Waternish","Alexander Morrison","Forsavriev","http://napier-skye.blogspot.com/2010/08/waternish-skye-14-may-1883-alexander.html","Waternish, Skye, 14 May 1883 - Alexander Morrison"
"60",1,"184","Skye, Waternish","Murdo Mclean","Forsavriev","http://napier-skye.blogspot.com/2010/08/waternish-skye-14-may-1883-murdo-mclean.html","Waternish, Skye, 14 May 1883 - Murdo Mclean"
"61",1,"185","Skye, Dunvegan","Murdo Mclean","Edinbane","http://napier-skye.blogspot.com/2010/08/dunvegan-skye-15-may-1883-murdo-mclean.html","Dunvegan, Skye, 15 May 1883 - Murdo Mclean"
"62",1,"194","Skye, Dunvegan","Neil Gillies","Edinbane","http://napier-skye.blogspot.com/2010/08/dunvegan-skye-15-may-1883-neil-gillies.html","Dunvegan, Skye, 15 May 1883 - Neil Gillies"
"63",1,"195","Skye, Dunvegan","Kenneth Mcphee","Edinbane","http://napier-skye.blogspot.com/2010/08/dunvegan-skye-15-may-1883-kenneth.html","Dunvegan, Skye, 15 May 1883 - Kenneth Mcphee"
"64",1,"196","Skye, Dunvegan","Alexander Duncan Fraser","(Edinburgh)","http://napier-skye.blogspot.com/2010/08/dunvegan-skye-15-may-1883-alexander.html","Dunvegan, Skye, 15 May 1883 - Alexander Duncan Fraser"
"65",1,"201","Skye, Dunvegan","Malcolm Mccaskill","Kilmuir","http://napier-skye.blogspot.com/2010/08/dunvegan-skye-15-may-1883-malcolm.html","Dunvegan, Skye, 15 May 1883 - Malcolm Mccaskill"
"66",1,"209","Skye, Dunvegan","Alexander Mcinnes","Kilmuir","http://napier-skye.blogspot.com/2010/08/dunvegan-skye-15-may-1883-alexander_23.html","Dunvegan, Skye, 15 May 1883 - Alexander Mcinnes"
"67",1,"210","Skye, Dunvegan","John Mcswan","Skiniden","http://napier-skye.blogspot.com/2010/08/dunvegan-skye-15-may-1883-john-mcswan.html","Dunvegan, Skye, 15 May 1883 - John Mcswan"
"68",1,"211","Skye, Dunvegan","Malcolm Mccaskill","Kilmuir","http://napier-skye.blogspot.com/2010/08/dunvegan-skye-15-may-1883-malcolm_23.html","Dunvegan, Skye, 15 May 1883 - Malcolm Mccaskill (re-examined)"
"69",1,"211","Skye, Dunvegan","John Mcdonald","Lonmore","http://napier-skye.blogspot.com/2010/08/dunvegan-skye-15-may-1883-john-mcdonald.html","Dunvegan, Skye, 15 May 1883 - John Mcdonald"
"70",1,"212","Skye, Dunvegan","William Mcleod","Kinloch, Dunvegan","http://napier-skye.blogspot.com/2010/08/dunvegan-skye-15-may-1883-william.html","Dunvegan, Skye, 15 May 1883 - William Mcleod"
"71",1,"213","Skye, Dunvegan","John Mcdonald","Roshkill","http://napier-skye.blogspot.com/2010/08/dunvegan-skye-15-may-1883-john-mcdonald_23.html","Dunvegan, Skye, 15 May 1883 - John Mcdonald (Roshkill)"
"72",1,"215","Skye, Dunvegan","Donald Mcphee","Roag","http://napier-skye.blogspot.com/2010/08/dunvegan-skye-15-may-1883-donald-mcphee.html","Dunvegan, Skye, 15 May 1883 - Donald Mcphee"
"73",1,"219","Skye, Dunvegan","John Mcphee","Harlosh","http://napier-skye.blogspot.com/2010/08/dunvegan-skye-15-may-1883-john-mcphee.html","Dunvegan, Skye, 15 May 1883 - John Mcphee"
"74",1,"221","Skye, Dunvegan","Angus Mcfarlane","Harlosh","http://napier-skye.blogspot.com/2010/08/dunvegan-skye-15-may-1883-angus.html","Dunvegan, Skye, 15 May 1883 - Angus Mcfarlane"
"75",1,"223","Skye, Broadford","Donald Mckinnon","Elgoll","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-donald.html","Broadford, Skye, 16 May 1883 - Donald Mckinnon"
"76",1,"228","Skye, Broadford","Neil Mackinnon","Elgoll","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-neil.html","Broadford, Skye, 16 May 1883 - Neil Mackinnon"
"77",1,"228","Skye, Broadford","Norman Robertson ","Elgoll","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-norman.html","Broadford, Skye, 16 May 1883 - Norman Robertson"
"78",1,"231","Skye, Broadford","Charles Mckenzie","Torrin","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-charles.html","Broadford, Skye, 16 May 1883 - Charles Mckenzie"
"79",1,"234","Skye, Broadford","Neil Nicolson","Torrin","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-neil_24.html","Broadford, Skye, 16 May 1883 - Neil Nicolson"
"80",1,"240","Skye, Broadford","Hector Macpherson","Harrapool","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-hector.html","Broadford, Skye, 16 May 1883 - Hector Macpherson"
"81",1,"242","Skye, Broadford","John Macdonald","Harrapool","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-john.html","Broadford, Skye, 16 May 1883 - John Macdonald"
"82",1,"244","Skye, Broadford","Duncan Finlayson","Upper Breakish","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-duncan.html","Broadford, Skye, 16 May 1883 - Duncan Finlayson"
"83",1,"246","Skye, Broadford","Marion Mathieson","Waterloo","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-widow-marion.html","Broadford, Skye, 16 May 1883 - Widow Marion Mathieson"
"84",1,"247","Skye, Broadford","Rev Donald Mackinnon","Strath","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-rev-donald.html","Broadford, Skye, 16 May 1883 - Rev Donald Mackinnon"
"85",1,"255","Skye, Broadford","Donald Mcgillvray","Lower Breakish","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-donald_25.html","Broadford, Skye, 16 May 1883 - Donald Mcgillivray"
"86",1,"258","Skye, Broadford","Donald Logan","Broadford","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-donald-logan.html","Broadford, Skye, 16 May 1883 - Donald Logan"
"87",1,"263","Skye, Broadford","Finlay Mcinnes","Waterloo","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-finlay.html","Broadford, Skye, 16 May 1883 - Finlay Mcinnes"
"88",1,"264","Skye, Broadford","William Fraser","Blackpark","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-william.html","Broadford, Skye, 16 May 1883 - William Fraser"
"89",1,"265","Skye, Broadford","Kenneth Campbell","Corrie Farm","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-kenneth.html","Broadford, Skye, 16 May 1883 - Kenneth Campbell"
"90",1,"266","Skye, Broadford","Malcolm Mcinnes","Heaste","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-malcolm.html","Broadford, Skye, 16 May 1883 - Malcolm Mcinnes"
"91",1,"267","Skye, Broadford","Donald Nicolson","Luib","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-donald_6144.html","Broadford, Skye, 16 May 1883 - Donald Nicolson"
"92",1,"268","Skye, Broadford","Kenneth Mcrae","Dunan","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-kenneth_25.html","Broadford, Skye, 16 May 1883 - Kenneth Mcrae"
"93",1,"270","Skye, Broadford","John Robertson","Ashaig","http://napier-skye.blogspot.com/2010/08/broadford-skye-16-may-1883-john_25.html","Broadford, Skye, 16 May 1883 - John Robertson"
"94",1,"271","Skye, Isle Ornsay","Alexander Mcgillivray","Aird, Sleat","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-alexander.html","Isle Ornsay, Skye, 17 May 1883 - Alexander Mcgillivray"
"95",1,"274","Skye, Isle Ornsay","Alexander Robertson ","Caligary","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-alexander_30.html","Isle Ornsay, Skye, 17 May 1883 - Alexander Robertson"
"96",1,"278","Skye, Isle Ornsay","Malcolm Macpherson","Kilmore","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-malcolm.html","Isle Ornsay, Skye, 17 May 1883 - Malcolm Macpherson"
"97",1,"280","Skye, Isle Ornsay","Donald Beaton","Ferindonald","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-donald.html","Isle Ornsay, Skye, 17 May 1883 - Donald Beaton"
"98",1,"281","Skye, Isle Ornsay","Donald Robertson","Saasaig","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-donald_30.html","Isle Ornsay, Skye, 17 May 1883 - Donald Robertson"
"99",1,"283","Skye, Isle Ornsay","Allan Campbell","Teangue","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-allan.html","Isle Ornsay, Skye, 17 May 1883 - Allan Campbell"
"100",1,"286","Skye, Isle Ornsay","John Martin","Camuscross","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-john.html","Isle Ornsay, Skye, 17 May 1883 - John Martin"
"101",1,"290","Skye, Isle Ornsay","Finlay Graham","Sleat","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-rev-finlay.html","Isle Ornsay, Skye, 17 May 1883 - Rev Finlay Graham"
"102",1,"293","Skye, Isle Ornsay","Donald Mcinnes","Duisdale","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-donald_6530.html","Isle Ornsay, Skye, 17 May 1883 - Donald Mcinnes"
"103",1,"295","Skye, Isle Ornsay","Donald Martin, Malcolm Macpherson","Kylerhea","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-donald_2732.html","Isle Ornsay, Skye, 17 May 1883 - Donald Martin"
"104",1,"297","Skye, Isle Ornsay","John Mcinnes, Peter Kelly, John Nicolson","Drumfearn","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-john_30.html","Isle Ornsay, Skye, 17 May 1883 - John Mcinnes"
"105",1,"300","Skye, Isle Ornsay","John Macdonald","Tarskaveg","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-john_8165.html","Isle Ornsay, Skye, 17 May 1883 - John Macdonald"
"106",1,"302","Skye, Isle Ornsay","Kenneth Macdonald","Stonefield","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-kenneth.html","Isle Ornsay, Skye, 17 May 1883 - Kenneth Macdonald"
"107",1,"304","Skye, Isle Ornsay","John Macdonald","Tockaveg","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-john_5006.html","Isle Ornsay, Skye, 17 May 1883 - John Macdonald (Tockaveg)"
"108",1,"306","Skye, Isle Ornsay","Alexander Macdonald","Tockaveg","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-alexander_6300.html","Isle Ornsay, Skye, 17 May 1883 - Alexander Macdonald (Ord)"
"109",1,"306","Skye, Isle Ornsay","Donald Macdonald","Tormore","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-donald_1961.html","Isle Ornsay, Skye, 17 May 1883 - Donald Macdonald"
"110",1,"313","Skye, Isle Ornsay","Alexander Macdonald","Ord","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-alexander_6300.html","Isle Ornsay, Skye, 17 May 1883 - Alexander Macdonald (Ord)"
"111",1,"320","Skye, Isle Ornsay","Rev Alexander Cameron","Sleat","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-rev.html","Isle Ornsay, Skye, 17 May 1883 - Rev Alexander Cameron"
"112",1,"323","Skye, Isle Ornsay","Alexander Macdonald","Saasaig","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-alexander_6105.html","Isle Ornsay, Skye, 17 May 1883 - Alexander Macdonald (Saasaig)"
"113",1,"324","Skye, Isle Ornsay","Ann Macdonald","Kilmore","http://napier-skye.blogspot.com/2010/08/isle-ornsay-skye-17-may-1883-ann.html","Isle Ornsay, Skye, 17 May 1883 - Ann Macdonald"
"114",1,"325","Skye, Bracadale","Murdo Mackay","Struanbeg","http://napier-skye.blogspot.com/2010/08/bracadale-skye-18-may-1883-murdo-mackay.html","Bracadale, Skye, 18 May 1883 - Murdo Mackay"
"115",1,"330","Skye, Bracadale","John Mccaskill","Ferrinlea","http://napier-skye.blogspot.com/2010/08/bracadale-skye-18-may-1883-john.html","Bracadale, Skye, 18 May 1883 - John Mccaskill"
"116",1,"336","Skye, Bracadale","Alexander Mccaskill","Cuilore, Drynoch","http://napier-skye.blogspot.com/2010/08/bracadale-skye-18-may-1883-alexander.html","Bracadale, Skye, 18 May 1883 - Alexander Mccaskill"
"117",1,"338","Skye, Bracadale","Donald Mcqueen","Bracadale","http://napier-skye.blogspot.com/2010/08/bracadale-skye-18-may-1883-donald.html","Bracadale, Skye, 18 May 1883 - Donald Mcqueen"
"118",1,"340","Skye, Bracadale","Alexander Mathieson","Carabost","http://napier-skye.blogspot.com/2010/08/bracadale-skye-18-may-1883-alexander_31.html","Bracadale, Skye, 18 May 1883 - Alexander Mathieson"
"119",1,"343","Skye, Bracadale","Donald Campbell","Struanmore","http://napier-skye.blogspot.com/2010/08/bracadale-skye-18-may-1883-donald_31.html","Bracadale, Skye, 18 May 1883 - Donald Campbell"
"120",1,"348","Skye, Bracadale","Alexander Mccaskill","Soay","http://napier-skye.blogspot.com/2010/08/bracadale-skye-18-may-1883-alexander_6180.html","Bracadale, Skye, 18 May 1883 - Alexander Mccaskill (Soay)"
"121",1,"353","Skye, Bracadale","John Mcrae","Soay","http://napier-skye.blogspot.com/2010/08/bracadale-skye-18-may-1883-john-mcrae.html","Bracadale, Skye, 18 May 1883 - John Mcrae"
"122",1,"354","Skye, Bracadale","Alexander Cameron","Cuilore","http://napier-skye.blogspot.com/2010/08/bracadale-skye-18-may-1883-alexander_8442.html","Bracadale, Skye, 18 May 1883 - Alexander Cameron"
"123",1,"355","Skye, Bracadale","Rev John Mclean","Bracadale","http://napier-skye.blogspot.com/2010/08/bracadale-skye-18-may-1883-rev-john.html","Bracadale, Skye, 18 May 1883 - Rev John Mclean"
"124",1,"358","Skye, Bracadale","Donald Mcleod","Garamore","http://napier-skye.blogspot.com/2010/08/bracadale-skye-18-may-1883-donald_7591.html","Bracadale, Skye, 18 May 1883 - Donald Mcleod"
"125",1,"359","Skye, Bracadale","Adam Scott, Kenneth Gillies","Old Drynoch","http://napier-skye.blogspot.com/2010/08/bracadale-skye-18-may-1883-adam-scott.html","Bracadale, Skye, 18 May 1883 - Adam Scott"
"126",1,"361","Skye, Bracadale","Alexander Macdonald","Portree","http://napier-skye.blogspot.com/2010/08/bracadale-skye-18-may-1883-alexander_5827.html","Bracadale, Skye, 18 May 1883 - Alexander Mcdonald"
"127",1,"362","Skye, Glendale","John Macpherson","Lower Milovaig","http://napier-skye.blogspot.com/2010/08/glendale-skye-19-and-21-may-1883-john.html","Glendale, Skye, 19 and 21 May 1883 - John Macpherson"
"128",1,"383","Skye, Glendale","John Macpherson","Lower Milovaig","http://napier-skye.blogspot.com/2010/08/glendale-skye-19-and-21-may-1883-john.html","Glendale, Skye, 19 and 21 May 1883 - John Macpherson"
"129",1,"384","Skye, Glendale","Alexander Ross","Fasach, Glendale","http://napier-skye.blogspot.com/2010/09/glendale-skye-21-may-1883-alexander.html","Glendale, Skye, 21 May 1883 - Alexander Ross"
"130",1,"394","Skye, Glendale","Peter Mckinnon","Lephin","http://napier-skye.blogspot.com/2010/09/glendale-skye-21-may-1883-peter.html","Glendale, Skye, 21 May 1883 - Peter Mckinnon"
"131",1,"399","Skye, Glendale","Peter Macdonald","Holmasdale","http://napier-skye.blogspot.com/2010/09/glendale-skye-21-may-1883-peter_01.html","Glendale, Skye, 21 May 1883 - Peter Macdonald"
"132",1,"403","Skye, Glendale","John Mackay","Colbost","http://napier-skye.blogspot.com/2010/09/glendale-skye-21-may-1883-john-mackay.html","Glendale, Skye, 21 May 1883 - John Mackay"
